name,total_energy,memory_system_cycles,bandwidth_utilization,peak_bandwidth,frontend_avg_bandwidth,total_read_energy,total_write_energy,total_refresh_energy,total_activation_energy,total_precharge_energy
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB16_AR,1263001294,395575697,0.501399994,64.1791992,62.2551231,1064048692,8217477.495,14370460.72,47165059.14,45946035.69
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB512,2538613743,382054349,0.513599992,65.740799,64.4584045,2406616703,18585789.21,3584504,11301042.48,8804062.259
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB16,1263001294,395575697,0.501399994,64.1791992,62.2551231,1064048692,8217477.495,14370460.72,47165059.14,45946035.69
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB512_AR,2549566290,390230282,0.502399981,64.3071976,63.1079025,2406616703,18585814.23,14176359.12,11509611.99,8966548.114
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB32,1239001827,292128110,0.677600026,86.7328033,84.3007355,1107389610,8552179.133,3453272.9,27434855.15,26204690.54
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB256,1814839430,267585710,0.736999989,94.3359985,92.0326233,1713870025,13235913.31,3453839.62,11801251.15,9977295.18
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB64_AR,1310052388,270333347,0.729399979,93.3631973,91.0972137,1194059903,9221515.381,9820690.88,18525990.05,17190673.17
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB256_AR,1821695283,272982804,0.720000029,92.1600037,90.2130585,1713870025,13235913.31,9916891.6,11966015.63,10116594.34
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB128,1466174136,252568336,0.780799985,99.9423981,97.5047607,1367365858,10559920.43,3396317.54,13792201.71,12305825.87
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB32_AR,1247190315,298641611,0.661800027,84.7104034,82.4621048,1107389610,8552179.133,10849004.32,27760665.86,26515892.17
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB128_AR,1472558774,257555076,0.762000024,97.5360031,95.61689,1367365858,10559920.43,9356405.52,13973353.31,12467454.94
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB64,1303075413,264829635,0.744799972,95.3343964,92.9904022,1194059903,9221515.381,3454122.98,18272258.17,16955229.71
