name,REFab
32ms_Without_WUPR_Analysis,258
tsv_1024_Page16384_Stack4_Size2_Bank512_UCA1,27452
tsv_1024_Page32768_Stack4_Size4_Bank1024_UCA1,27446
WUPR_4Segments_Analysis,39730
32ms_With_WUPR_Analysis,27451
WUPR_64Segments_Analysis,27451
WUPR_32Segments_Analysis,27451
WUPR_8Segments_Analysis,31541
tsv_1024_Page16384_Stack4_Size1_Bank256_UCA1,27452
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1,27044
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1,27451
tsv_1024_Page32768_Stack4_Size1_Bank256_UCA1,27451
tsv_1024_Page32768_Stack4_Size2_Bank512_UCA1,27449
WUPR_128Segments_Analysis,27451
16ms_Without_WUPR_Analysis,144032
tsv_1024_Page8192_Stack4_Size8_Bank2048_UCA1,27452
WUPR_16Segments_Analysis,27451
16ms_With_WUPR_Analysis,54859
8ms_Without_WUPR_Analysis,305727
tsv_1024_Page8192_Stack4_Size2_Bank512_UCA1,27043
tsv_1024_Page32768_Stack4_Size8_Bank2048_UCA1,27446
WUPR_2Segments_Analysis,59213
tsv_1024_Page8192_Stack4_Size1_Bank256_UCA1,27043
0ms_Without_WUPR_Analysis,2
tsv_1024_Page16384_Stack4_Size8_Bank2048_UCA1,27450
8ms_With_WUPR_Analysis,109672
