name,total_energy,memory_system_cycles,bandwidth_utilization,peak_bandwidth,frontend_avg_bandwidth,total_read_energy,total_write_energy,total_refresh_energy,total_activation_energy,total_precharge_energy
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB16_AR,1263001293.5549502,395575697,0.501399994,64.1791992,62.2551231,1064048691.9473699,8217477.49536,14370460.72,47165059.13697,45946035.69225
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB512,2506926944.45681,249484272,0.792599976,101.452797,98.7100906,2406616702.7323,18585789.2123,3396317.54,11312105.564232001,8812680.945478
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB16,1263001293.5549502,395575697,0.501399994,64.1791992,62.2551231,1064048691.9473699,8217477.49536,14370460.72,47165059.13697,45946035.69225
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB512_AR,2513080832.367156,254290243,0.773999989,99.0719986,96.8445129,2406616702.7323,18585789.2123,9237819.36,11452253.146704,8921862.770852
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB32,1239001826.556,292128110,0.677600026,86.7328033,84.3007355,1107389610.2382002,8552179.13307,3453272.9,27434855.1471,26204690.540129997
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB256,1810479468.5331783,249484272,0.792599976,101.452797,98.7100906,1713870025.2577403,13235913.314899998,3396317.54,11798713.891536,9975150.066502
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB64_AR,1310052387.7256298,270333347,0.729399979,93.3631973,91.0972137,1194059903.0941198,9221515.380989999,9820690.88,18525990.05048,17190673.16604
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB256_AR,1816653787.1467,254290243,0.773999989,99.0719986,96.8445129,1713870025.2577403,13235913.314899998,9237819.36,11944890.146592,10098733.922468
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB128,1466173880.54131,252567421,0.780799985,99.9423981,97.5051117,1367365857.6287398,10559920.42761,3396317.54,13792202.84016,12305826.875299998
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB32_AR,1247190315.14446,298641611,0.661800027,84.7104034,82.4621048,1107389610.2382002,8552179.13307,10849004.32,27760665.855180003,26515892.168010004
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB128_AR,1472563234.46838,257553759,0.762000024,97.5360031,95.6173706,1367365857.6287398,10559920.42761,9356405.52,13976127.021680001,12469929.73135
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_SB64,1303075412.80599,264829635,0.744799972,95.3343964,92.9904022,1194059903.0941198,9221515.380989999,3454122.98,18272258.1734,16955229.706979997
